Title;endereco;uf;telefone;contato;cnpj;horario_atendimento;Outros horarios;servicos_oferecidos;procedimentos;Atendimento;Avisos;gerente_unidade;gerente_clinica;Enfermeiro_a_Supervisor_a_;Demais_Gerencias;Unidade_Responsavel;Tipo de Item;Caminho
CliniCASSI Salvador;Av. Antônio Carlos Magalhães, nº 3244, 23º andar, Edifício Empresarial Thomé de Souza, Pituba, Salvador (BA) – CEP 41800-700;Bahia;(71) 3453-8000​;Fale com a CASSI | Central 0800 729 0080;33.719.485/0015-22;2ª a 6ª feira, das 7 às 18h para atendimento na CliniCASSI e das 8 às 18h para atendimento administrativo;;"1. Atenção Primária à Saúde (APS):
a. Cuidado de saúde realizado pelos profissionais: médico, enfermeiro, técnico de enfermagem e equipe multiprofissional (assistente social, nutricionista, psicólogo e farmacêutica);
b. Educação em Saúde para grupos de participantes com enfoque na prevenção de doenças e promoção à saúde;
c. Programas de Saúde (Bem Viver, Plena Idade, Atenção Domiciliar – PAD, Saúde Mental, Viva Coração, Assistência Farmacêutica – PAF e Gerenciamento de Condições Crônicas – GCC).
2. Especialidades que apoiam a equipe de APS: Cardiologista, Pediatra, Endocrinologista, Ginecologista e Psiquiatria.
3. Exame laboratorial.
4. Saúde do Trabalhador (a).
5. Perícia Médica.";1. Nebulização/inalação. 2. Retirada de pontos, de sinais e de corpo estranho. 3. Coleta de exame citopatológico cérvico-vaginal. 4. Realização de teste de glicemia capilar. 5. Administração de oxigênio. 6. Cateterismo vesical. 7. Curativos simples. 8. Exame do pé diabético. 9. Excisão de lesão e suturas de ferimentos de pele e mucosas. 10. Inserção e remoção de DIU. 11. Lavagem auditiva e remoção de cerume. 12. Retirada de Berne, miíase ou bicho do pé. 13. Controle/Aferição de sinais vitais e antropometria.;;;Fausto da Costa Pereira Neto;Manoela Cerqueira Reis​​;;"Coordenadora ​de Equipe Administrativa – Emanuela Conceicao Azevedo da Silva
Gerente de Divisão em Saúde – Joana Darc Matias de Oliveira​

Gerente de Negociação com Prestadores – Polliana Torres Dourado Cerqueira

​​​​Gerente de Atenção Integral a Saúde e.e – Sandra Pereira dos Santos

Gerente de Relacionamento com Participantes  – Vera Rodrigues dos Santos

Gerente de Regulação – Luciana Maria Bastos Macedo

Gerente de Saúde Ocupacional – Cicero Dantas Amaral

Gerente de Divisão de Relacionamento Negocial e com Participantes – Luciana Bomfim Nascimento";;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
CliniCASSI Vitória da Conquista;Rua Siqueira Campos, nº 450 – Térreo/sala 02 – Centro Empresarial DMA – Bairro Recreio – Vitória da Conquista (BA) – CEP 45020-800;Bahia;(77) 3424-8350;Fale com a CASSI | Central 0800 729 0080;33.719.485 / 0071-30;de 2ª a 6ª feira, das 8 às 17h;;"1. Atenção Primária à Saúde (APS):
a. Cuidado de saúde realizado pelos profissionais: médico e enfermeiro;
b. Educação em Saúde para grupos de participantes com enfoque na prevenção de doenças e promoção à saúde;
c. Programas de Saúde (Bem Viver, Plena Idade, Atenção Domiciliar – PAD, Saúde Mental, Viva Coração, Assistência Farmacêutica – PAF e Gerenciamento de Condições Crônicas – GCC).
2. Saúde do Trabalhador (a).";1. Curativo em Ferida simples. 2. Nebulização/inalação. 3. Retirada de pontos. 4. Controle/Aferição sinais vitais e antropometria. 5. Realização de teste de glicemia capilar. 6. Avaliação do pé diabético.;;;Fausto da Costa Pereira Neto;;Diane da Silva Rocha;;;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
Unidade CASSI Bahia;Av. Antônio Carlos Magalhães, nº 3244, 23º andar, Edifício Empresarial Thomé de Souza, Pituba, Salvador (BA) – CEP 41800-700;Bahia;;Fale com a CASSI | Central 0800 729 0080;33.719.485/0015-22;de 2ª a 6ª feira, das 7 às 18h;;;;;;Fausto da Costa Pereira Neto;;;;;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
CliniCASSI Fortaleza;Av. Barão de Studart, 2917, bairro Dionísio Torres, Fortaleza, CEP: 60120-376;Ceará;(85) 3366-0500;Fale com a CASSI | Central 0800 729 0080;33.719.485/0014-42;de de 2ª a 6ª feira, das 7h às 18h e sábado das 8h às 12h.;;"1. Atenção Primária à Saúde (APS):
a. Cuidado de saúde realizado pelos profissionais: médico, enfermeiro, técnico de enfermagem e equipe multiprofissional (assistente social, nutricionista, psicólogo e farmacêutica);
b. Educação em saúde para grupos de participantes com enfoque na prevenção de doenças e promoção à saúde;
c. Programas de saúde (Bem Viver, Plena Idade, Atenção Domiciliar – PAD, Saúde Mental, Viva Coração, Assistência Farmacêutica – PAF e Gerenciamento de Condições Crônicas – GCC).
2. Especialidades que apoiam a equipe de APS: Cardiologia, Pediatria, Ginecologia e Psiquiatria.
3. Exame laboratorial.
4. Saúde do trabalhador(a).
5. Perícia médica.
6. Administração de imunobiológicos elegíveis para serem aplicados na CliniCASSI (consultar junto a sua equipe da CliniCASSI quais imunobiológicos elegíveis).";"1. Administração de medicamentos por via oral, intradérmica, nasal, ocular, otológica, oral, parenteral, retal, subcutânea e tópica.
2. Administração de oxigênio por cateter nasal / Máscara de Venturi.
3. Aplicação de compressa quente.
4. Cateterismo vesical de alívio.
5. Cateterismo vesical de demora (passagem/troca, incluindo em cistostomia) / Troca de sonda de Folley.
6. Colocação de imobilização provisória (colar cervical e tipoia).
7. Curativo em feridas simples.
8. Drenagem de hematoma subungueal.
9. Excisão de lesão e/ou sutura de ferimentos da pele, anexos e mucosas.
10. Exérese de calosidades, cistos, lipomas e nevos.
11. Incisão e drenagem de abscessos.
12. Lavagem auditiva e remoção de cerume.
13. Nebulização / Inalação. 14. Remoção de molusco contagioso.
15. Retirada de dermatobiose penetrans (berne ou miíase).
16. Retirada de pontos.
17. Retirada de tunga penetrans (bicho de pé).
18. Tamponamento de epistaxe.
19. Tratamento/cuidado de queimaduras (exceto grande queimado).
20. Troca de bolsa de colostomia / ileostomia.
21. Avaliação do pé diabético.
22. Coleta de urina para realização de EAS / Urocultura em participantes que demandem ou façam uso de algum tipo de cateterismo vesical.
23. Coleta para exame citopatológico cérvico-vaginal.
24. Controle/aferição sinais vitais e antropometria.
25. Eletrocardiografia.
26. Estesiometria.
27. Realização de teste de glicemia capilar.";;;Francisca Izabel da Silveira Marinho;Patricia Rangel Viana;;;;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
Unidade CASSI Ceará;Av. Barão de Studart, 2917, bairro Dionísio Torres, Fortaleza, CEP: 60120-375;Ceará;;Fale com a CASSI;33.719.485/0014-41;;;;;;;Gerente de Unidade – Francisca Izabel da Silveira Marinho;;;;;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
Unidade CASSI Ceará;Av. Barão de Studart, 2917, bairro Dionísio Torres, Fortaleza, CEP: 60120-375;Ceará;;Fale com a CASSI | Central 0800 729 0080;33.719.485/0014-41;de 2ª a 6ª feira, das 8h às 18h;;;;;;Francisca Izabel da Silveira Marinho;;;;;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
CASSI Sede;SIG/SUL, Quadra 4, Lote 575, Brasília (DF) – CEP: 70.610-910;Distrito Federal;(61) 3212 – 5000;Fale com a CASSI | Central 0800 729 0080;33.719.485/0001 – 27;das 8 às 18h, de segunda a sexta-feira;;;;;;;;;;;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
CEPAG – Central de Análise e Pagamento de Contas Médicas;SIG/SUL, Quadra 4, Lote 575, Brasília (DF) – CEP: 70.610-910;Distrito Federal;(61) 3212 – 5000;Fale com a CASSI | Central 0800 729 0080;33.719.485/0001 – 27;das 8 às 18h, de segunda a sexta-feira;;;;;;;;;;;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
CliniCASSI Brasilia;SIG, Quadra 4, Lote 417, Brasília (DF) – CEP: 70.610-910;Distrito Federal;(61) 3424-4600;Fale com a CASSI | Central 0800 729 0080;33.719.485/0060-87;e 2ª a 6ª feira, das 7h às 19h para atendimento em saúde e das 8h às 18h para atendimento administrativo. Sábado das 8 às 14h.;;"1. Atenção Primária à Saúde (APS):
a. Cuidado de saúde realizado pelos profissionais: médico, enfermeiro, técnico de enfermagem e equipe multiprofissional (assistente social, nutricionista, psicólogo e farmacêutica);
b. Educação em Saúde para grupos de participantes com enfoque na prevenção de doenças e promoção à saúde;
c. Programas de Saúde (Bem Viver, Plena Idade, Atenção Domiciliar – PAD, Saúde Mental, Viva Coração, Assistência Farmacêutica – PAF e Gerenciamento de Condições Crônicas – GCC). |

2. Especialidades que apoiam a equipe de APS: Cardiologista, Pediatra, Endocrinologista, Ginecologista e Psiquiatria. |

3. Exame laboratorial. |

4. Saúde do Trabalhador (a). |

5. Perícia Médica. |

6. Administração de imunobiológicos elegíveis para serem aplicados na CliniCASSI (consultar junto a sua equipe da CliniCASSI quais imunobiológicos elegíveis). |";"1. Administração de Medicamentos por via oral, intradérmica, nasal, ocular, otológica, parenteral, retal, subcutânea e tópica. |
2. Administração de oxigênio por catéter nasal / Máscara de Venturi. |
3. Aplicação de compressa quente. |
4. Avaliação do pé diabético. |
5. Cateterismo de alívio. |
6. Cateterismo Vesical de Demora (Passagem/troca, incluindo em cistotomia) / Troca de sonda de Folley. |
7. Cauterização química de pequenas lesões de pele e mucosa. |
8. Cirurgia da unha (cantoplastia e/ou cantotomia). |
9. Coleta de urina para realização de EAS / Urocultura em participantes que demandem ou façam uso de algum tipo de cateterismo vesical. |
10. Coleta para exame citopatológico cérvico-vaginal. |
11. Controle/Aferição sinais vitais e antropometria. |
12. Curativo em Ferida simples. |
13. Drenagem de hematoma subungueal. |
14. Eletrocardiograma |
15. Estesiometria |
16. Excisão de lesão e/ou sutura de ferimentos da pele, anexos e mucosas. |
17. Exérese de calosidades, cistos e lipomas. |
18. Exérese de nevos.
19. Imobilização Provisória. |
20. Incisão e drenagem de abcessos. |
21. Inserção e remoção de DIU.
22. Lavagem auditiva e remoção de cerume. |
23. Nebulização/inalação.
24. Realização de Glicemia Capilar. |
25. Realização de teste de glicemia capilar. |
26. Remoção de molusco contagioso. |
27. Retirada de Dermatobiose Penetrar (Berne ou Miiase). |
28. Retirada de pontos. |
29. Retirada de Tunga Penetrans (Bicho de pé). |
30. Retirada/remoção de corpo estranho em diferentes tecidos, mucosas e peças anatômicas. |
31. Suporte Básico de Vida – SBV. |
32. Tamponamento de Epistaxe. |
33. Tratamento/cuidado de queimaduras (exceto grandes queimados). |
34. Troca de bolsa de colostomia / ileostomia.|";;;Lucineide Barbosa de Melo;Mariana Borges do Nascimento;Auriceia Adorno Mo​reira Bahia;;;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
CliniCASSI Edifício Banco do Brasil;SAUN – Quadra 5 – Bloco B – Torre Norte, Ala Oeste – 9º andar – Edifício Banco do Brasil CEP-70040-912;Distrito Federal;Fale com a CASSI | Central 0800 729 0080;;33.719.485/0028-47;8h às 19h45 (segunda a sexta);;"1. Atenção Primária à Saúde (APS):
a. Cuidado de saúde realizado pelos profissionais: médico, enfermeiro, técnico de enfermagem e equipe multiprofissional (nutricionista e psicólogo);
b. Educação em Saúde para grupos de participantes com enfoque na prevenção de doenças e promoção à saúde;
c. Programas de Saúde (Bem Viver, Plena Idade, Saúde Mental, Viva Coração, Assistência Farmacêutica – PAF e Gerenciamento de Condições Crônicas – GCC) Trabalhador).
2. Saúde do Trabalhador (a).";"1. Administração de Medicamentos por via oral, intradérmica, nasal, ocular, otológica, parenteral, retal, subcutânea e tópica.
2. Administração de oxigênio por catéter nasal / Máscara de Venturi.
3. Aplicação de compressa quente.
4. Cateterismo Vesical de Demora (Passagem/troca, incluindo em cistotomia) / Troca de sonda de Folley.
5. Curativo em Ferida simples.
6. Drenagem de hematoma subungueal.
7. Excisão de lesão e/ou sutura de ferimentos da pele, anexos e mucosas.
8. Exérese de calosidades, cistos e lipomas.
9. Exérese de nevos.
10. Lavagem auditiva e remoção de cerume.
11. Nebulização/inalação.
12. Remoção de molusco contagioso.
13. Retirada de Dermatobiose Penetrar (Berne ou Miiase).
14. Retirada de pontos.
15. Retirada de Tunga Penetrans (Bicho de pé).
16. Tamponamento de Epistaxe.
17. Tratamento/cuidado de queimaduras (exceto grandes queimados).
18. Troca de bolsa de colostomia / ileostomia.
19. Avaliação do pé diabético.
20. Coleta de urina para realização de EAS / Urocultura em participantes que demandem ou façam uso de algum tipo de cateterismo vesical.
21. Coleta para exame citopatológico cérvico-vaginal.
22. Controle/Aferição sinais vitais e antropometria.
23. Eletrocardiografia.
24. Realização de teste de glicemia capilar.
25. Cirurgia da unha (cantoplastia e/ou cantotomia).
26. Retirada/remoção de corpo estranho em diferentes tecidos, mucosas e peças anatômicas.
27. Imobilização Provisória.
28. Cateterismo de alívio.
29. Realização de Glicemia Capilar.";;;Lucineide Barbosa de Melo;Leticia Freire Santana;;;;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
CliniCASSI Edifício Banco do Brasil;SAUN – Quadra 5, Bloco B, torre norte, ala oeste, 9º andar, edifício Banco do Brasil, Brasília (DF) – CEP-70040-912;Distrito Federal;(61) 2109-2050​;Fale com a CASSI | Central 0800 729 0080;33.719.485/0028-47;"de 2ª a 6ª feira, das 8h às 19h45
(*Atendimento exclusivo para funcionários do Ed. Banco do Brasil)";;"1. Atenção Primária à Saúde (APS):
a. Cuidado de saúde realizado pelos profissionais: médico, enfermeiro, técnico de enfermagem e equipe multiprofissional (nutricionista e psicólogo);
b. Educação em Saúde para grupos de participantes com enfoque na prevenção de doenças e promoção à saúde;
c. Programas de Saúde (Bem Viver, Plena Idade, Saúde Mental, Viva Coração, Assistência Farmacêutica – PAF e Gerenciamento de Condições Crônicas – GCC) Trabalhador).
2. Saúde do Trabalhador (a).";1. Administração de Medicamentos por via oral, intradérmica, nasal, ocular, otológica, parenteral, retal, subcutânea e tópica.  2. Administração de oxigênio por catéter nasal / Máscara de Venturi.  3. Aplicação de compressa quente.  4. Cateterismo Vesical de Demora (Passagem/troca, incluindo em cistotomia) / Troca de sonda de Folley.  5. Curativo em Ferida simples.  6. Drenagem de hematoma subungueal.  7. Excisão de lesão e/ou sutura de ferimentos da pele, anexos e mucosas.  8. Exérese de calosidades, cistos e lipomas.  9. Exérese de nevos.  10. Lavagem auditiva e remoção de cerume.  11. Nebulização/inalação.  12. Remoção de molusco contagioso.  13. Retirada de Dermatobiose Penetrar (Berne ou Miiase).  14. Retirada de pontos.  15. Retirada de Tunga Penetrans (Bicho de pé).  16. Tamponamento de Epistaxe.  17. Tratamento/cuidado de queimaduras (exceto grandes queimados).  18. Troca de bolsa de colostomia / ileostomia.  19. Avaliação do pé diabético.  20. Coleta de urina para realização de EAS / Urocultura em participantes que demandem ou façam uso de algum tipo de cateterismo vesical.  21. Coleta para exame citopatológico cérvico-vaginal.  22. Controle/Aferição sinais vitais e antropometria.  23. Eletrocardiografia.  24. Realização de teste de glicemia capilar. 25. Cirurgia da unha (cantoplastia e/ou cantotomia).  26. Retirada/remoção de corpo estranho em diferentes tecidos, mucosas e peças anatômicas.  27. Imobilização Provisória.  28. Cateterismo de alívio.  29. Realização de Glicemia Capilar.;;;Lucineide Barbosa de Melo;Leticia Freire Santana;;;;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
Unidade CASSI Distrito Federal;SIG, Quadra 4, Lote 417, Brasília (DF) – CEP: 70.610-910;Distrito Federal;(61) 3424-4600;Fale com a CASSI | Central 0800 729 0080;33.719.485/0060-87;de 2ª a 6ª feira, das 8 às 18h;;;;;;Lucineide Barbosa de Melo;;;"Gerente de Divisão de Atenção à Saúde –  Lilian Maria Rodrigues de Andrade
Gerente de Saúde Ocupacional – Karina Garonce Dias Ferreira​
​Gerente de Divisão de Relacionamento com o Mercado – Larissa Rodrigues​​
Gerente de Relacionamento com Participante – Graciana de Sousa Cabral
Gerente de Negociação com Prestadores DF – Arlei da Silva Pereira
​​Gerente de Regulação – Henrique Moreira da Silva Junior
Gerente de Atenção Integral a Saúde – Paula Francisca Cordeiro e Souza
";;Item;sites/GEO-DivisaodeMarketingeComunicacao/Lists/Dados_localize_CASSI
